squadra,nome,tipo,priorita
Udinese,Zaniolo,PUNIZIONI,1
Udinese,Ekkelenkamp,PUNIZIONI,2
Udinese,Zaniolo,CORNER,1
Udinese,Vojvoda,CORNER,2
Venezia,Busio,RIGORI,1
Venezia,Rrahmani Al.,RIGORI,2
Venezia,Akor Adams,RIGORI,3
Venezia,Busio,PUNIZIONI,1
Venezia,Basic,PUNIZIONI,2
Venezia,Busio,CORNER,1
Venezia,Kike Pérez,CORNER,2
